id,homeTeam,awayTeam,spread_pick,ml_pick,ou_pick,spread_conf,ou_conf,ml_conf,predicted_margin,predicted_total
401783357,Stevenson,Eastern University,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401774090,Juniata College,Lycoming,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401752945,Tulsa,Oregon State,Tulsa +2.5,No value,Over,6.008800506591797,2.3869361877441406,0.85088,-8.5088005,52.886936
401756948,Arizona State,West Virginia,Arizona State -11.5,No value,Over,0.37693119049072266,4.8279266357421875,1.1876931,11.876931,52.327927
401774384,Millikin,Elmhurst,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401774379,North Central College,Illinois Wesleyan,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401774391,North Park,Wheaton,No line,No line,No line,,,0.008069029,-0.080690295,48.507996
401773690,West Virginia Wesleyan,Glenville State,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401776786,Albion,Calvin University,No line,No line,No line,,,0.008069029,-0.080690295,46.820774
401767348,Delaware State,Howard,No line,No line,No line,,,0.10672554,1.0672554,49.50127
401773360,Southeastern Oklahoma State,East Central (OK),No line,No line,No line,,,0.07646595,0.7646595,50.3257
401773483,Northern Michigan,Wayne State (MI),No line,No line,No line,,,0.15304326,1.5304326,49.499054
401777033,Concordia-Wisconsin,Eureka College,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401806689,Gustavus Adolphus,Macalester,No line,No line,No line,,,0.01920576,0.1920576,48.48073
401777779,Western New England,Nichols College,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401766737,Grinnell,Cornell College (IA),No line,No line,No line,,,0.008069029,-0.080690295,50.757095
401766738,Beloit,Illinois College,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401766739,Monmouth (IL),Knox College,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401806932,Lawrence University,Ripon,No line,No line,No line,,,0.01920576,0.1920576,48.48073
401774071,Franklin & Marshall,Johns Hopkins University,No line,No line,No line,,,0.20362854,2.0362854,49.50127
401767543,Southern Illinois,South Dakota,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401777736,McDaniel College,Gettysburg,No line,No line,No line,,,0.20362854,2.0362854,48.79461
401777994,Muhlenberg,Dickinson (PA),No line,No line,No line,,,0.20362854,2.0362854,49.50127
401806690,Saint John's (MN),St. Olaf,No line,No line,No line,,,0.15304326,1.5304326,49.499054
401773935,Lenoir-Rhyne,Catawba,No line,No line,No line,,,0.14234889,1.4234889,50.47588
401774116,Union (NY),Rensselaer,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401783328,St. Lawrence,University of Rochester (NY),No line,No line,No line,,,0.13829455,1.3829454,49.32974
401774365,Carthage,Carroll University (WI),No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401777288,Saint Vincent,Westminster (PA),No line,No line,No line,,,0.10672554,1.0672554,49.344578
401774129,Trine University,Kalamazoo,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401776800,Hope College,Olivet College,No line,No line,No line,,,0.01920576,0.1920576,48.48073
401806686,Augsburg,Hamline University,No line,No line,No line,,,0.15304326,1.5304326,48.48073
401777291,Washington & Jefferson,Thiel,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401777094,Hiram College,Grove City College,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401777273,Case Western Reserve,Geneva,No line,No line,No line,,,0.01920576,0.1920576,46.7935
401806688,Carleton,Concordia Moorhead,No line,No line,No line,,,0.116108894,1.161089,48.48073
401777260,Allegheny,Bethany (WV),No line,No line,No line,,,0.10672554,1.0672554,49.344578
401777248,Shenandoah,Washington and Lee,No line,No line,No line,,,0.17565261,1.7565261,50.47588
401773826,East Stroudsburg University,Clarion,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401777084,Wabash College,Depauw,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401777210,University of Mount Union,Muskingum University,No line,No line,No line,,,0.008069029,-0.080690295,46.820774
401774414,Hanover College,Franklin,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401774433,Rose-Hulman,Mount St. Joseph,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401777190,Wilmington (OH),Capital,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401774427,Manchester,Anderson (IN),No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401777182,Baldwin Wallace,Heidelberg,No line,No line,No line,,,0.008069029,-0.080690295,48.507996
401752767,Kentucky,Tennessee Tech,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401773612,Emporia State University,Fort Hays State,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401773405,Indianapolis,Upper Iowa University,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401773415,William Jewell,Lincoln (MO),No line,No line,No line,,,0.10672554,1.0672554,49.344578
401773528,West Alabama,Northeastern State,No line,No line,No line,,,0.20310001,2.0310001,50.47588
